portName,month,year,category,dwellTime
KATTUPALLI,MARCH,2021,Import,66.5
KOLKATA,MARCH,2021,Export,145.7
KOLKATA,MARCH,2021,Import,33.9
KRISHNAPATNAM,MARCH,2021,Export,71.0
KRISHNAPATNAM,MARCH,2021,Import,65.9
NMPT,MARCH,2021,Import,84.4
SOUTHERN REGION AVG.,MARCH,2021,Export,77.2
SOUTHERN REGION AVG.,MARCH,2021,Import,55.8
TUTICORIN,MARCH,2021,Export,68.4
TUTICORIN,MARCH,2021,Import,21.4
VIZAG,MARCH,2021,Export,98.9
VIZAG,MARCH,2021,Import,50.9
WESTERN REGION AVG.,MARCH,2021,Export,98.1
WESTERN REGION AVG.,MARCH,2021,Import,22.6
APSEZ,APRIL,2021,Export,124.6
APSEZ,APRIL,2021,Import,21.6
CHENNAI,APRIL,2021,Export,79.2
CHENNAI,APRIL,2021,Import,49.7
COCHIN,APRIL,2021,Export,73.2
COCHIN,APRIL,2021,Import,43.1
EASTERN REGION AVG.,APRIL,2021,Export,101.5
EASTERN REGION AVG.,APRIL,2021,Import,50.8
HALDIA,APRIL,2021,Export,120.0
HALDIA,APRIL,2021,Import,80.6
HAZIRA,APRIL,2021,Export,117.0
HAZIRA,APRIL,2021,Import,29.0
JNPT,APRIL,2021,Export,73.0
JNPT,APRIL,2021,Import,20.0
KANDLA,APRIL,2021,Import,51.0
KATTUPALLI,APRIL,2021,Export,89.8
KATTUPALLI,APRIL,2021,Import,71.0
KOLKATA,APRIL,2021,Export,124.3
KOLKATA,APRIL,2021,Import,43.7
KRISHNAPATNAM,APRIL,2021,Export,73.8
KRISHNAPATNAM,APRIL,2021,Import,50.5
NMPT,APRIL,2021,Import,84.1
SOUTHERN REGION AVG.,APRIL,2021,Export,76.6
SOUTHERN REGION AVG.,APRIL,2021,Import,44.8
TUTICORIN,APRIL,2021,Export,54.8
TUTICORIN,APRIL,2021,Import,21.7
VIZAG,APRIL,2021,Export,80.6
VIZAG,APRIL,2021,Import,47.4
WESTERN REGION AVG.,APRIL,2021,Export,95.7
WESTERN REGION AVG.,APRIL,2021,Import,21.8
APSEZ,MAY,2021,Export,136.7
APSEZ,MAY,2021,Import,36.4
CHENNAI,MAY,2021,Export,98.7
CHENNAI,MAY,2021,Import,49.9
COCHIN,MAY,2021,Export,101.5
COCHIN,MAY,2021,Import,42.4
EASTERN REGION AVG.,MAY,2021,Export,132.7
EASTERN REGION AVG.,MAY,2021,Import,62.9
HALDIA,MAY,2021,Export,143.4
HALDIA,MAY,2021,Import,93.1
HAZIRA,MAY,2021,Export,136.0
HAZIRA,MAY,2021,Import,47.0
JNPT,MAY,2021,Export,82.0
JNPT,MAY,2021,Import,19.0
KANDLA,MAY,2021,Import,56.5
KATTUPALLI,MAY,2021,Export,93.3
KATTUPALLI,MAY,2021,Import,60.9
KOLKATA,MAY,2021,Export,133.9
KOLKATA,MAY,2021,Import,36.8
KRISHNAPATNAM,MAY,2021,Export,71.9
KRISHNAPATNAM,MAY,2021,Import,82.4
NMPT,MAY,2021,Import,100.4
SOUTHERN REGION AVG.,MAY,2021,Export,89.1
SOUTHERN REGION AVG.,MAY,2021,Import,45.5
TUTICORIN,MAY,2021,Export,60.3
TUTICORIN,MAY,2021,Import,22.8
VIZAG,MAY,2021,Export,131.5
VIZAG,MAY,2021,Import,74.4
WESTERN REGION AVG.,MAY,2021,Export,104.1
WESTERN REGION AVG.,MAY,2021,Import,26.9
APSEZ,JUNE,2021,Export,129.6
APSEZ,JUNE,2021,Import,32.0
CHENNAI,JUNE,2021,Export,83.2
CHENNAI,JUNE,2021,Import,43.9
COCHIN,JUNE,2021,Export,105.6
COCHIN,JUNE,2021,Import,39.8
EASTERN REGION AVG.,JUNE,2021,Export,130.6
EASTERN REGION AVG.,JUNE,2021,Import,64.5
HALDIA,JUNE,2021,Export,175.9
HALDIA,JUNE,2021,Import,96.9
HAZIRA,JUNE,2021,Export,118.0
HAZIRA,JUNE,2021,Import,37.0
JNPT,JUNE,2021,Export,80.0
JNPT,JUNE,2021,Import,20.0
KANDLA,JUNE,2021,Import,59.0
KATTUPALLI,JUNE,2021,Export,105.5
KATTUPALLI,JUNE,2021,Import,57.8
KOLKATA,JUNE,2021,Export,177.0
KOLKATA,JUNE,2021,Import,31.0
KRISHNAPATNAM,JUNE,2021,Export,99.3
KRISHNAPATNAM,JUNE,2021,Import,47.1
NMPT,JUNE,2021,Import,128.5
SOUTHERN REGION AVG.,JUNE,2021,Export,86.4
SOUTHERN REGION AVG.,JUNE,2021,Import,41.1
TUTICORIN,JUNE,2021,Export,56.5
TUTICORIN,JUNE,2021,Import,24.1
VIZAG,JUNE,2021,Export,98.6
VIZAG,JUNE,2021,Import,94.2
WESTERN REGION AVG.,JUNE,2021,Export,98.0
WESTERN REGION AVG.,JUNE,2021,Import,25.9
APSEZ,JULY,2021,Export,124.4
APSEZ,JULY,2021,Import,22.7
CHENNAI,JULY,2021,Export,90.6
CHENNAI,JULY,2021,Import,35.3
COCHIN,JULY,2021,Export,79.0
COCHIN,JULY,2021,Import,36.5
EASTERN REGION AVG.,JULY,2021,Export,128.3
EASTERN REGION AVG.,JULY,2021,Import,52.4
HALDIA,JULY,2021,Export,143.5
HALDIA,JULY,2021,Import,93.0
HAZIRA,JULY,2021,Export,122.0
HAZIRA,JULY,2021,Import,30.0
JNPT,JULY,2021,Export,79.0
JNPT,JULY,2021,Import,17.0
KANDLA,JULY,2021,Import,41.7
KATTUPALLI,JULY,2021,Export,91.9
KATTUPALLI,JULY,2021,Import,55.4
KOLKATA,JULY,2021,Export,158.7
KOLKATA,JULY,2021,Import,28.5
